"id","nombre y apellido","edad","fecha_nacimiento","altura","peso","fecha_carga"
"336","José Rodríguez","23","07/12/2002","1.87","79.8","2023-04-05 12:34:18"
"337","Pedro López","41","16/03/1985","1.46","64.4","2024-09-05 19:26:19"
"338","Carlos Sánchez","83","22/02/1941","1.43","48.1","2023-03-19 09:07:21"
"339","Pedro Gómez","23","15/12/2001","1.42","89.8","2022-07-07 23:33:39"
"340","José Sánchez","65","25/04/1961","1.73","96.0","2023-07-04 20:06:08"
"341","Juan Gómez","20","19/09/2006","1.83","69.4","2024-02-15 21:25:20"
"342","José Romero","67","16/08/1957","1.49","82.5","2021-05-03 13:44:00"
"343","Juan Sánchez","59","14/01/1965","1.82","45.3","2020-06-12 05:35:46"
"344","Ana Romero","82","24/07/1944","1.73","72.0","2023-07-25 19:07:44"
"345","Lucía López","64","15/09/1986","1.67","67.2","2023-09-21 12:03:13"
"346","Ana Rodríguez","67","07/08/1959","vacio","90.3","2023-11-18 16:13:34"
"347","Lucía Romero","29","22/09/1995","1.56","95.4","2023-03-04 00:53:58"
"348","José Martínez","39","20/02/1986","1.55","80.8","2021-01-28 06:05:40"
"349","José Torres","84","28/08/1940","1.79","92.6","2024-11-17 23:32:26"
"350","María López","83","17/02/1942","0.3","88.7","2022-07-21 09:25:01"
"351","Sofía Sánchez","0","21/06/1980","1.59","51.5","2020-09-16 21:19:16"
"352","Juan Pérez","52","03/02/1972","1.74","78.4","2024-04-11 14:23:08"
"353","Juan García","70","09/01/1954","1.8","91.7","2023-05-05 23:35:26"
"354","Ana Gómez","35","28/08/1989","1.4","77.8","2023-06-02 07:38:52"
"355","Ana Fernández","49","07/01/1977","1.49","78.9","2020-08-10 19:58:59"
"356","Miguel Torres","78","24/07/1946","1.5","76.9","2022-08-18 03:38:33"
"357","Carlos Romero","79","06/04/1946","1.56","81.3","2024-02-01 11:31:02"
"358","Sofía López","84","07/06/1940","1.72","60.2","2023-09-20 17:28:28"
"359","Miguel García","53","08/03/1972","1.49","78.4","2021-07-27 19:36:37"
"360","Lucía Rodríguez","19","22/10/2005","1.85","91.7","2024-07-17 21:28:57"
"361","Lucía Gómez","37","26/06/1989","1.79","65.1","2023-04-06 04:52:28"
"362","Miguel Torres","46","16/10/1985","1.73","91.6","2021-11-10 18:43:08"
"363","Pedro García","72","14/04/1954","1.88","85.5","2022-06-15 17:45:16"
"364","Lucía Pérez","61","19/09/1963","1.66","88.5","2020-07-09 01:27:10"
"365","Ana Pérez","23","19/02/2003","1.82","59.5","2024-03-30 13:18:00"
"366","Laura Pérez","38","09/05/1986","1.58","92.7","2020-01-28 18:16:16"
"367","Pedro García","72","09/11/1954","1.51","55.3","2021-04-29 08:23:11"
"368","Sofía Martínez","22","13/08/2004","vacio","53.9","2020-06-25 04:39:22"
"369","Laura Romero","72","15/06/1954","0.3","54.1","2024-07-18 21:49:18"
"370","Laura Gómez","21","21/07/2004","1.51","78.4","2022-06-17 14:57:20"
"371","Laura López","32","09/04/1992","1.66","54.2","2020-10-08 08:22:02"
"372","Sofía Sánchez","73","11/11/1951","1.85","82.6","2021-12-27 17:19:33"
"373","Laura Romero","83","03/07/1943","1.46","71.5","2020-01-05 23:38:16"
"374","Sofía Torres","47","27/09/1977","1.61","96.6","2023-12-06 21:26:47"
"375","Laura Pérez","47","04/03/1978","1.86","49.6","2022-11-21 06:52:55"
"376","Juan Gómez","35","08/11/1991","2.05","89.2","2024-10-11 23:43:23"
"377","Laura Rodríguez","62","11/06/1963","1.71","99.5","2025-05-30 06:30:25"
"378","Ana Torres","36","13/10/1989","1.79","66.9","2021-05-02 08:21:56"
"379","Miguel López","77","29/12/1948","1.8","78.8","2024-05-12 23:09:05"
"380","Juan Pérez","73","14/01/1953","vacio","57.2","2024-04-23 14:35:13"
"381","Laura Torres","61","13/09/1965","vacio","54.6","2023-03-17 07:05:25"
"382","Juan Romero","39","20/10/1985","1.74","64.8","2020-12-21 10:02:47"
"383","Sofía Martínez","26","29/01/2000","1.41","83.7","2023-11-26 12:39:04"
"384","Carlos Fernández","31","26/05/1994","1.69","59.4","2020-10-23 18:19:11"
"385","Carlos Martínez","75","01/07/1950","1.81","76.6","2025-06-03 08:51:26"
"386","Ana García","25","23/02/2001","1.64","59.2","2022-06-21 08:22:17"
"387","Ana Sánchez","53","05/09/1971","1.53","60.8","2023-11-01 02:46:05"
"388","José López","42","02/10/1982","1.53","97.1","2025-08-05 07:16:10"
"389","Lucía Fernández","61","23/10/1963","1.82","64.6","2020-11-17 17:56:14"
"390","Laura Gómez","16","24/07/2008","1.59","62.3","2023-01-30 17:52:10"
"391","Pedro Torres","61","21/02/1965","vacio","68.3","2023-11-23 14:20:05"
"392","Pedro García","75","19/10/1950","1.4","82.1","2024-01-21 22:18:38"
"393","Carlos López","36","19/03/1989","1.71","65.1","2024-03-04 13:17:31"
"394","Sofía Rodríguez","44","08/06/1980","1.74","89.8","2024-11-05 13:52:03"
"395","Lucía López","18","04/04/2006","1.65","99.8","2023-07-17 17:43:02"
"396","Carlos Rodríguez","34","07/06/1990","1.75","48.3","2021-01-29 16:22:43"
"397","Ana Rodríguez","54","20/05/1972","1.53","46.1","2022-03-25 21:00:09"
"398","Laura Torres","70","29/08/1955","1.74","71.8","2024-04-09 22:20:34"
"399","Carlos García","28","02/09/1996","1.86","68.2","2020-10-19 02:52:49"
"400","Pedro Martínez","66","22/06/1960","1.53","80.5","2024-01-27 21:22:08"
"401","José García","47","20/02/1977","1.52","58.8","2022-05-12 06:04:37"
"402","Sofía Pérez","112","28/07/1948","1.43","87.4","2021-03-01 09:33:20"
"403","Laura López","78","25/07/1947","1.52","60.6","2021-11-29 01:02:24"
"404","Juan Martínez","56","05/03/1969","1.67","60.0","2021-12-26 21:30:41"
"405","Laura García","30","12/08/1996","1.72","74.4","2022-07-19 03:15:38"
"406","Miguel Rodríguez","52","24/10/1972","1.4","89.8","2025-04-05 19:28:56"
"407","Juan García","17","11/10/2007","1.8","77.8","2022-02-11 14:59:27"
"408","José Sánchez","51","01/06/1975","1.59","65.8","2022-09-08 18:48:33"
"409","Laura Rodríguez","61","16/07/1965","1.61","91.9","2025-02-08 22:29:27"
"410","Miguel Rodríguez","0","04/11/2002","1.48","98.3","2023-03-01 09:48:03"
"411","Pedro García","11","25/03/2005","1.65","63.8","2024-03-01 16:52:56"
"412","Juan Martínez","77","13/03/1947","1.79","48.9","2022-10-21 13:53:34"
"413","Juan Pérez","0","29/11/2008","1.62","85.6","2021-01-19 18:58:26"
"414","Lucía García","51","28/11/1974","1.48","85.1","2021-05-15 09:13:22"
"415","Miguel Rodríguez","67","29/10/1957","1.51","51.2","2021-11-16 10:03:08"
"416","Laura Pérez","49","05/07/1975","1.69","83.0","2021-01-01 09:03:20"
"417","Pedro García","77","14/03/1948","1.9","79.4","2021-03-15 04:34:52"
"418","Miguel Fernández","58","31/05/1968","1.8","69.1","2024-01-07 04:54:19"
"419","Carlos Gómez","43","16/07/1983","1.75","55.4","2025-04-02 10:01:27"
"420","Laura Torres","19","21/05/1954","1.81","74.8","2025-09-03 13:48:01"
"421","Pedro Gómez","31","07/08/1995","1.76","81.2","2025-07-30 20:04:41"
"422","Pedro Romero","0","26/05/1965","1.45","81.2","2022-01-01 01:08:19"
"423","Lucía Pérez","41","18/07/1983","1.82","81.2","2022-11-14 01:47:13"
"424","Ana Fernández","30","12/05/1994","1.5","72.0","2020-09-05 13:08:27"
"425","José Sánchez","51","09/02/1973","1.53","47.2","2022-06-03 18:54:49"
"426","María Pérez","20","21/01/2005","1.66","58.7","2024-08-27 03:50:29"
"427","Laura Martínez","26","05/07/2000","1.45","88.6","2021-10-09 19:26:19"
"428","Laura García","55","10/08/1971","1.56","65.4","2023-08-17 22:09:05"
"429","Lucía Romero","38","13/12/1988","1.53","97.9","2020-05-21 10:21:27"
"430","Laura Gómez","0","09/06/1986","0.3","92.1","2023-02-04 20:09:29"
"431","José Torres","33","13/03/1991","1.63","53.6","2022-10-20 08:28:59"
"432","Carlos Rodríguez","78","30/03/1948","1.77","84.8","2021-01-25 21:40:18"
"433","Carlos Gómez","20","24/07/2005","1.43","87.4","2024-09-02 04:23:19"
"434","Lucía Romero","85","09/01/1941","1.55","47.3","2025-08-19 08:02:20"
"435","Pedro Gómez","25","07/06/2000","1.78","76.6","2024-06-03 05:23:20"
"436","Pedro Martínez","79","28/05/1947","0.3","66.9","2021-07-06 17:30:35"
"437","José Fernández","43","08/10/1983","1.71","85.5","2024-10-27 11:46:30"
"438","Laura Pérez","75","04/02/1950","1.5","63.9","2021-11-24 12:43:58"
"439","Laura García","29","28/11/1995","1.52","82.7","2020-12-17 04:05:28"
"440","Juan Fernández","30","18/09/1995","0.3","61.8","2022-05-17 07:25:12"
"441","José Torres","18","26/04/2007","1.9","83.2","2020-06-27 09:18:03"
"442","Pedro Gómez","0","24/06/1965","1.43","81.0","2023-01-16 13:06:54"
"443","María Gómez","60","29/03/1966","1.89","73.0","2025-06-08 21:44:23"
"444","José Pérez","69","21/09/1956","1.76","47.2","2025-06-29 14:19:23"
"445","Pedro Gómez","54","10/02/1971","1.52","98.8","2022-11-21 14:05:47"
"446","Juan Torres","60","19/02/1965","1.73","49.8","2022-07-20 15:11:40"
"447","Lucía Romero","72","14/09/1953","1.56","74.8","2022-04-08 05:01:42"
"448","Carlos Torres","72","18/02/1952","1.68","53.7","2021-04-29 06:42:14"
"449","Ana López","40","24/03/2005","1.61","67.6","2023-01-26 05:31:57"
"450","Lucía Pérez","75","20/10/1951","1.7","78.7","2020-04-16 13:04:49"
"451","María García","74","11/01/1952","1.72","55.1","2021-11-01 07:02:10"
"452","Lucía Gómez","48","27/08/1976","1.88","57.2","2022-04-17 02:24:28"
"453","Pedro García","30","11/05/1995","1.84","68.5","2024-04-07 11:23:32"
"454","Sofía Romero","20","11/08/2006","1.84","88.3","2020-06-22 08:56:47"
"455","José Torres","0","29/06/1975","1.66","79.7","2024-06-18 11:05:18"
"456","Carlos García","72","08/12/1954","1.74","94.7","2021-01-05 18:13:42"
"457","María López","0","11/11/2009","1.6","62.8","2022-04-07 16:33:16"
"458","María Rodríguez","57","27/01/1969","1.76","51.8","2024-01-26 03:06:21"
"459","José Sánchez","0","18/03/2005","1.48","75.3","2023-10-04 20:35:20"
"460","Pedro López","74","21/12/1952","1.55","85.2","2022-01-10 04:16:48"
"461","Pedro Fernández","0","25/04/1940","2.5","74.9","2022-09-01 07:53:46"
"462","Laura García","44","15/09/1980","1.4","93.5","2022-04-30 01:46:51"
"463","Pedro López","80","09/12/1944","1.42","76.8","2020-12-25 01:47:06"
"464","María Sánchez","70","28/12/1955","1.75","77.7","2025-02-08 21:04:46"
"465","Ana Gómez","77","09/05/1948","1.59","48.7","2023-04-14 17:08:30"
"466","Pedro Pérez","23","26/04/2002","1.66","83.3","2020-12-25 17:36:34"
"467","Laura Rodríguez","47","24/04/1978","1.69","79.3","2025-07-26 18:55:18"
"468","Miguel García","0","21/02/1956","1.89","45.1","2021-04-28 07:32:55"
"469","Laura Sánchez","44","22/02/1977","1.72","45.6","2020-10-04 11:12:20"
"470","Carlos Torres","35","05/05/1989","1.57","66.8","2021-12-20 07:03:50"
"471","Ana Martínez","25","30/04/2000","1.72","71.5","2023-10-04 16:50:16"
"472","Sofía Gómez","40","30/09/1986","1.68","46.0","2023-12-19 02:24:38"
"473","Pedro Rodríguez","83","18/10/1942","1.82","76.4","2023-06-16 11:27:02"
"474","Juan Rodríguez","112","16/02/1977","1.63","97.3","2021-04-04 13:37:29"
"475","Juan Fernández","76","22/04/1948","1.85","53.5","2023-06-25 11:55:04"
"476","Pedro Pérez","38","22/04/1986","1.42","66.3","2023-06-27 01:36:11"
"477","Laura Pérez","0","25/11/1969","1.78","86.0","2022-05-09 11:40:58"
"478","Lucía Fernández","60","16/09/1965","1.74","60.0","2021-02-23 07:31:16"
"479","José Martínez","35","14/04/1989","1.8","76.6","2023-10-19 19:40:54"
"480","Miguel Gómez","115","02/09/1951","1.45","48.0","2024-12-31 22:26:21"
"481","Ana Rodríguez","57","24/10/1969","1.8","49.3","2021-06-23 03:22:58"
"482","Miguel Pérez","46","14/11/1980","1.63","57.7","2022-11-22 13:13:58"
"483","Sofía López","0","06/10/2002","1.84","69.9","2023-12-10 17:25:37"
"484","Miguel López","61","28/04/1965","1.65","67.3","2020-10-17 10:59:59"
"485","José García","49","16/12/1975","1.67","98.6","2024-10-31 15:51:02"
"486","Laura Martínez","36","07/11/1988","1.44","96.2","2025-03-11 11:50:47"
"487","José Pérez","46","10/12/1979","1.45","89.8","2025-07-17 23:29:00"
"488","Juan Pérez","67","10/07/1959","1.72","45.0","2023-04-08 14:11:55"
"489","Laura Romero","46","12/02/1980","1.55","88.7","2024-11-15 12:32:03"
"490","María Romero","86","23/09/1940","1.46","61.2","2020-08-05 00:01:50"
"491","José Martínez","75","03/11/1949","1.75","66.7","2024-04-11 15:50:41"
"492","José Fernández","25","08/06/1999","1.59","95.8","2021-05-29 04:53:20"
"493","Juan Pérez","92","03/03/1998","1.73","98.6","2024-08-30 16:36:12"
"494","Laura Sánchez","31","30/11/1995","1.81","66.2","2020-01-31 21:02:31"
"495","Miguel Fernández","0","21/11/2003","1.69","46.8","2024-02-18 04:07:12"
"496","Laura García","93","12/12/2001","1.89","99.1","2020-11-16 19:03:17"
"497","Laura Pérez","65","31/12/1961","1.73","82.6","2020-08-04 12:30:29"
"498","José Gómez","43","23/01/1982","1.57","64.4","2021-11-17 01:17:10"
"499","Laura Rodríguez","20","21/03/2005","1.64","54.3","2020-04-21 10:26:33"
"500","Miguel Pérez","74","18/05/1951","1.71","60.1","2021-12-16 21:32:44"
"501","Pedro García","52","04/03/1973","vacio","54.9","2020-12-11 05:16:54"
"502","Laura López","41","29/06/1984","1.52","69.2","2023-11-14 01:58:40"
"503","Carlos Pérez","81","17/09/1944","1.64","97.2","2024-05-16 17:16:45"
"504","Carlos López","37","03/08/1987","1.8","66.0","2020-06-17 03:32:41"
"505","José Martínez","48","26/09/1978","1.57","59.7","2024-05-21 16:47:18"
"506","Lucía Romero","0","14/02/2009","vacio","62.2","2020-10-05 00:26:07"
"507","Sofía Pérez","0","14/02/1987","1.76","58.9","2020-08-20 21:37:54"
"508","Lucía Romero","27","30/03/1997","1.7","65.7","2022-01-26 04:02:08"
"509","Pedro Rodríguez","58","05/06/1966","1.86","60.2","2023-08-17 09:22:09"
"510","Pedro Pérez","61","16/11/1964","1.9","59.2","2020-10-11 17:54:10"
"511","Lucía Romero","50","23/03/1975","1.67","68.7","2024-12-13 09:25:47"
"512","María Gómez","93","17/07/1946","1.62","94.3","2020-06-03 14:13:01"
"513","Carlos López","23","21/10/2002","1.66","96.7","2020-10-14 19:39:55"
"514","Lucía Gómez","51","27/06/1974","1.67","99.5","2020-08-14 23:01:13"
"515","María Martínez","38","18/12/1987","1.63","87.2","2020-06-10 13:59:13"
"516","Lucía Rodríguez","22","06/06/2002","1.58","49.7","2021-07-27 01:17:59"
"517","Lucía Gómez","20","27/07/2004","1.43","74.7","2025-01-14 00:35:51"
"518","Juan Martínez","81","10/01/1945","0.58","81.7","2021-09-02 21:05:36"
"519","Lucía Pérez","0","23/04/1943","1.64","95.5","2021-06-18 00:31:22"
"520","Pedro Gómez","57","28/07/1967","1.49","77.5","2025-07-29 21:39:44"
"521","Laura Fernández","80","29/08/1945","1.82","85.6","2021-07-16 11:42:31"
"522","Lucía Gómez","31","17/03/1993","1.47","67.8","2024-12-01 08:52:14"
"523","Laura Gómez","108","19/12/1951","1.59","53.7","2020-01-30 06:31:56"
"524","María Romero","60","15/06/1965","1.5","80.2","2021-12-15 22:13:44"
"525","Juan Romero","70","24/02/1956","vacio","88.0","2022-08-23 06:59:13"
"526","María Torres","78","01/08/1948","1.63","79.5","2021-04-06 05:25:58"
"527","Miguel García","69","26/10/1955","1.58","56.5","2025-01-30 01:34:37"
"528","María Gómez","36","17/03/1988","1.46","94.2","2023-08-28 15:15:27"
"529","Lucía Martínez","65","21/08/1960","1.52","67.7","2020-10-28 17:08:53"
"530","Laura García","80","15/11/1944","1.7","54.8","2022-03-06 23:00:40"
"531","Ana Rodríguez","66","21/02/1958","1.43","52.5","2021-12-02 12:30:33"
"532","Lucía Rodríguez","32","25/02/1994","1.85","76.8","2024-08-13 18:59:49"
"533","Miguel Fernández","32","26/01/1993","1.77","85.5","2022-06-29 21:32:44"
"534","Pedro Romero","84","15/06/1940","1.54","46.8","2021-02-05 16:28:22"
"535","Miguel Fernández","77","15/06/1947","1.6","57.0","2021-01-06 00:34:47"
"536","Miguel Rodríguez","72","07/07/1954","1.41","70.0","2024-07-18 06:44:01"
"537","Ana García","0","24/02/2003","1.85","63.3","2023-01-10 22:18:01"
"538","José Romero","66","01/08/1958","1.57","96.3","2024-01-30 01:52:38"
"539","María Sánchez","52","18/10/1972","1.49","75.7","2022-04-18 05:02:21"
"540","Ana Fernández","37","30/05/1988","1.78","92.9","2022-07-12 11:40:03"
"541","Ana Rodríguez","40","05/03/1985","1.59","69.9","2025-04-09 19:21:57"
"542","José Rodríguez","46","19/07/1980","1.8","96.7","2025-02-18 03:10:43"
"543","María Sánchez","68","16/01/1956","1.54","83.3","2020-04-02 10:40:26"
"544","Sofía Torres","74","05/11/1951","1.72","61.0","2022-08-09 18:55:07"
"545","Ana Sánchez","35","01/12/1991","1.64","81.6","2025-02-18 11:04:16"
"546","Laura López","15","25/10/2010","1.59","60.8","2023-03-10 16:35:59"
"547","Pedro Romero","71","04/06/1954","1.49","83.9","2021-10-22 08:39:42"
"548","María Gómez","0","28/05/1968","1.49","75.9","2023-11-09 05:23:11"
"549","Ana García","38","07/06/1988","1.86","67.3","2025-02-19 11:39:31"
"550","Pedro Gómez","20","03/04/2006","1.75","71.1","2021-08-25 20:34:46"
"551","Miguel Martínez","24","28/10/2001","1.47","75.3","2022-06-21 16:14:14"
"552","Ana Pérez","82","12/04/1969","1.66","88.0","2020-12-08 19:36:10"
"553","Miguel Pérez","40","30/11/1985","1.7","96.9","2021-08-28 15:34:11"
"554","Ana Sánchez","44","12/06/1973","1.89","93.1","2024-12-24 15:07:54"
"555","Miguel Rodríguez","71","11/09/1954","1.61","91.0","2023-05-27 17:16:48"
"556","José Martínez","81","06/12/1945","1.44","67.5","2025-03-07 20:40:37"
"557","Pedro Fernández","69","08/09/1956","1.42","90.4","2025-03-13 08:10:28"
"558","Juan Gómez","73","26/10/1953","1.64","81.0","2025-07-07 23:28:33"
"559","Lucía Gómez","75","16/09/1950","1.43","86.0","2022-11-22 22:51:52"
"560","Miguel Pérez","53","25/06/1973","0.96","48.2","2021-07-08 13:00:43"
"561","Pedro Gómez","62","17/06/1964","1.58","60.9","2022-03-04 22:51:57"
"562","Pedro Pérez","33","19/09/1993","1.56","91.5","2024-01-24 03:29:21"
"563","José Romero","53","19/07/1971","1.54","87.8","2021-10-29 03:43:44"
"564","Lucía López","39","27/02/1985","1.68","82.9","2021-04-11 15:11:42"
"565","Miguel Pérez","74","16/06/1950","1.56","64.9","2023-11-02 06:16:11"
"566","Carlos Gómez","18","15/10/2006","1.75","82.8","2020-11-17 15:28:00"
"567","María Pérez","84","08/09/1941","0.55","73.2","2022-11-02 01:34:32"
"568","María Rodríguez","12","22/11/1999","1.86","56.3","2023-12-10 01:03:55"
"569","María López","20","11/12/2006","1.48","72.5","2020-10-06 03:36:29"
"570","Laura Gómez","0","11/06/1987","1.49","86.5","2022-05-26 18:21:25"
"571","Miguel Martínez","23","19/08/2002","1.45","90.9","2022-07-21 14:50:22"
"572","María Martínez","75","02/02/1951","vacio","83.8","2023-09-05 17:58:31"
"573","María Sánchez","61","11/06/1965","1.89","69.4","2024-10-18 06:52:24"
"574","María García","24","04/12/2000","1.65","50.8","2020-12-14 04:20:26"
"575","Pedro Sánchez","49","10/12/1975","1.85","54.3","2022-03-31 21:39:42"
"576","Sofía Pérez","66","21/11/1960","1.78","87.1","2024-06-27 12:57:54"
"577","Miguel Romero","50","13/04/1976","1.78","50.9","2021-07-05 01:04:55"
"578","María Gómez","78","13/02/1946","1.59","82.4","2021-01-29 02:47:09"
"579","José García","45","22/10/1981","1.65","74.8","2020-03-13 01:09:01"
"580","Sofía Pérez","51","01/06/1974","1.42","54.7","2021-11-03 17:53:39"
"581","Sofía López","57","12/01/1968","1.68","72.0","2025-04-08 17:19:38"
"582","José López","33","16/06/1985","1.89","78.9","2023-08-05 02:14:10"
"583","Juan Romero","81","18/01/1944","1.77","46.5","2021-02-02 15:35:18"
"584","Ana Martínez","50","15/12/1976","1.52","62.2","2023-06-02 04:10:03"
"585","Ana López","83","07/10/1941","1.83","76.2","2025-04-07 21:24:28"
"586","Juan Martínez","52","20/11/1973","1.8","50.5","2025-08-21 12:21:44"
"587","Pedro Romero","59","14/11/1966","1.72","98.6","2022-05-26 10:27:44"
"588","Carlos Gómez","59","03/09/1966","1.71","97.7","2023-10-11 09:57:10"
"589","María Romero","37","23/08/1987","1.44","90.3","2023-07-07 07:17:04"
"590","Sofía Sánchez","63","17/07/1962","1.67","93.4","2022-02-03 21:00:08"
"591","Miguel Fernández","27","14/04/1999","1.53","80.1","2024-11-11 20:36:42"
"592","Juan Torres","67","31/12/1957","1.77","87.1","2020-09-20 23:04:50"
"593","Lucía Sánchez","63","12/12/1963","1.74","58.0","2020-04-23 08:56:29"
"594","Carlos García","42","19/07/1983","vacio","56.1","2023-02-11 23:58:53"
"595","José López","29","20/10/1997","1.41","92.3","2020-09-17 14:49:07"
"596","Ana Pérez","51","10/08/1975","1.52","76.4","2022-10-28 18:04:30"
"597","María Fernández","32","23/10/1993","1.69","66.4","2024-09-28 07:56:14"
"598","Pedro Pérez","70","18/09/1955","1.53","77.4","2021-04-07 11:31:22"
"599","José Sánchez","43","08/08/1982","1.87","65.0","2020-03-27 23:29:53"
"600","Laura Gómez","18","04/05/2006","1.79","58.2","2024-01-26 04:26:37"
"601","José Fernández","46","09/09/1979","1.86","61.5","2023-05-03 07:39:35"
"602","Pedro García","30","22/08/1996","1.42","92.7","2025-04-13 15:02:07"
"603","Ana Sánchez","77","02/01/1949","1.43","68.1","2023-08-31 16:30:09"
"604","Juan Gómez","29","16/07/1997","1.72","45.2","2020-12-02 04:02:06"
"605","Pedro Fernández","40","29/04/1986","1.82","82.7","2025-05-13 04:51:39"
"606","Carlos López","24","03/09/2001","1.5","67.8","2022-07-08 00:45:17"
"607","Juan Torres","26","20/01/1998","1.89","55.9","2024-06-30 22:30:03"
"608","Sofía Romero","62","04/05/1963","1.68","45.8","2025-02-01 17:59:29"
"609","María Fernández","21","07/01/2004","1.65","52.2","2023-03-05 06:53:40"
"610","Sofía López","48","25/08/1976","1.53","79.0","2025-02-19 03:07:17"
"611","Juan García","75","13/12/1951","1.51","66.1","2020-10-26 03:28:08"
"612","José Gómez","80","03/09/1944","1.58","78.4","2020-07-05 00:11:42"
"613","Carlos Torres","0","04/08/1995","1.47","94.1","2021-11-26 18:20:27"
"614","Miguel Martínez","44","29/12/1981","1.62","59.3","2025-08-06 10:13:51"
"615","Ana Sánchez","60","19/05/1965","1.78","59.5","2023-07-16 17:53:12"
"616","Pedro Torres","0","24/12/1998","1.47","57.6","2025-03-28 15:53:23"
"617","María García","83","29/08/1943","1.63","51.2","2023-12-02 03:24:25"
"618","Lucía Rodríguez","70","16/03/1956","1.54","94.0","2020-01-17 19:09:05"
"619","Laura López","0","11/05/1977","1.74","93.8","2021-05-14 14:21:04"
"620","Ana Romero","75","07/07/1949","1.52","81.3","2020-01-24 11:59:38"
"621","Juan Romero","46","25/08/1980","1.85","88.8","2023-03-04 11:45:58"
"622","Juan Pérez","36","01/02/1989","1.53","58.2","2020-03-25 07:34:52"
"623","Pedro Sánchez","17","06/12/2009","1.73","51.6","2023-06-24 21:58:23"
"624","Pedro Martínez","47","15/09/1999","1.64","93.7","2024-09-28 03:17:05"
"625","Sofía Martínez","31","27/01/1995","1.42","63.8","2021-09-27 18:02:02"
"626","José Torres","78","14/07/1947","1.8","61.5","2023-05-15 09:03:11"
"627","José Sánchez","60","05/07/1966","1.42","50.9","2022-11-03 12:56:30"
"628","Carlos Romero","77","03/05/1947","1.73","54.9","2020-12-07 15:09:18"
"629","Carlos Martínez","34","05/09/1992","1.8","63.8","2022-05-14 06:44:19"
"630","María Romero","0","07/04/1963","1.41","66.7","2025-02-27 14:44:56"
"631","Laura García","59","02/03/1967","1.74","83.0","2021-05-27 04:55:09"
"632","Juan Fernández","76","15/01/1950","1.83","56.5","2024-11-19 22:47:38"
"633","José Fernández","78","22/09/1947","1.61","51.4","2024-12-28 17:39:36"
"634","Miguel Gómez","44","29/04/1980","1.81","66.5","2024-11-03 15:08:04"
"635","Miguel Romero","32","15/06/1993","1.35","77.5","2025-06-21 08:26:36"
"296","José López","81","20/11/1945","1.79","73.8","2022-04-02 02:05:53"
"450","lucía pérez","75","20/10/1951","1.7","78.7","2020-04-16 13:04:49"
"107","juan pérez","19","08/12/2006","1.57","65.4","2020-12-13 01:54:55"
"469"," LAURA SÁNCHEZ ","44","22/02/1977","1.72","45.6","2020-10-04 11:12:20"
"544","SOFÍA TORRES","74","05/11/1951","1.72","61.0","2022-08-09 18:55:07"
"525","Juan R0mer0","70","24/02/1956","vacio","88.0","2022-08-23 06:59:13"
"410","miguel rodríguez","0","04/11/2002","1.48","98.3","2023-03-01 09:48:03"
"428","Laura García","55","10/08/1971","1.56","65.4","2023-08-17 22:09:05"
"150"," Lucía Torres ","61","15/08/1964","1.45","80.3","2021-12-02 23:59:01"
"591"," MIGUEL FERNÁNDEZ ","27","14/04/1999","1.53","80.1","2024-11-11 20:36:42"
"158","LAURA TORRES","68","18/06/1957","1.65","87.0","2021-05-01 04:41:04"
"178"," LAURA FERNÁNDEZ ","66","29/08/1959","1.77","78.3","2025-04-12 19:34:13"
"319","MIGUEL LÓPEZ","76","30/01/1948","1.45","59.1","2023-04-27 09:36:59"
"320","MIGUEL GÓMEZ","76","14/12/1948","1.58","82.2","2020-07-06 00:21:07"
"528"," MARÍA GÓMEZ ","36","17/03/1988","1.46","94.2","2023-08-28 15:15:27"
"342","JOSÉ ROMERO","67","16/08/1957","1.49","82.5","2021-05-03 13:44:00"
"563","josé romero","53","19/07/1971","1.54","87.8","2021-10-29 03:43:44"
"263","Carlos García","61","10/10/1963","vacio","90.5","2023-09-04 05:24:01"
"483"," SOFÍA LÓPEZ ","0","06/10/2002","1.84","69.9","2023-12-10 17:25:37"
"498","J0sé Gómez","43","23/01/1982","1.57","64.4","2021-11-17 01:17:10"
